Geo,Year,Age0to14,Age15to19,Age20to29,Age30to54,Age55to64,Age65Plus
Clackamas,2015,72324.07,26624.795,44904.505,132726.59,58812.98,61594.675
Clatsop,2015,6117.903918,2202.729092,4442.258772,11139.02238,6326.970922,7374.759142
Columbia,2015,9100.528896,3322.59545,5620.826436,16385.64175,8031.573693,8858.229939
Coos,2015,9561.424758,3152.465901,6705.134893,17599.16727,10860.36981,15420.65535
Crook,2015,3546.54234,1315.041498,1582.596345,6098.251475,3612.147593,4980.298521
Curry,2015,2672.016951,990.2216753,1602.257177,5814.86051,4529.953152,6911.776348
Deschutes,2015,30426.75837,11151.87841,17545.94116,56128.24766,24302.20989,31050.62117
Douglas,2015,17518.53573,6681.239143,11092.5337,31411.34401,18627.01188,24720.25397
Gilliam,2015,291.0691602,96.81733324,158.8589593,557.0015561,363.8389238,490.8532811
Grant,2015,1001.530869,420.8069868,672.1208511,1956.927251,1359.119887,2003.020425
Harney,2015,1308.095671,396.2252779,782.9641308,2231.562321,1201.583349,1504.879948
Hood River,2015,4505.562807,1592.321037,2800.227187,8069.135785,3350.348999,3357.002573
Jackson,2015,36581,12977,24886,64445,33122,43322.821
Jefferson,2015,4321.804273,1509.358909,2458.834041,7064.945294,3243.093208,4207.612854
Josephine,2015,12502,4828,7344,21927,13424,19820.39187
Klamath,2015,11439.71853,4141.427161,8194.110095,19490.23075,10469.70286,13307.9623
Lake,2015,1238.554281,362.3543199,795.1125143,2376.787405,1331.721716,1814.254532
Lane,2015,55875.26671,25947.55786,56414.88595,106821.1191,53374.35425,63106.94204
Lincoln,2015,6576.953138,2003.278283,4333.880037,13210.14176,9257.95839,12207.80105
Linn,2015,21101,7247,13719,33749,15395,19026.65749
Malheur,2015,6601.165816,2092.424751,3958.329085,10359.39825,3920.433824,5101.296185
Marion,2015,70331,23336,47763,104996,40474,48060.4805
Morrow,2015,2486.687498,881.8391111,1414.377978,3555.389319,1658.215685,1671.946821
Multnomah,2015,131395.81,39651.99,122843.42,298556.16,94853.78,89411.35
Polk,2015,15334.79272,5443.813575,12111.13679,23857.16565,10352.75237,13104.09869
Sherman,2015,254.2843596,106.0893323,172.4138556,481.975502,310.9930738,409.6455409
Tillamook,2015,3907.061703,1233.852668,2463.548808,7196.838275,4722.515985,6208.680935
Umatilla,2015,16701.11823,5366.91275,10909.44461,24948.43228,9865.962114,11094.98751
Union,2015,5173.383178,1604.269441,4008.559029,7385.220839,3671.842931,5120.833752
Wallowa,2015,1086.346001,326.4803785,592.0766137,1808.894603,1426.227447,1829.762709
Wasco,2015,4897.667072,1554.130493,2905.214181,7515.197868,3949.677283,5214.954097
Washington,2015,117525.06,35942.13,76448.34,209377.17,66179.16,65608.65
