Geo,Year,AutoMeanAge,LtTrkMeanAge
Washington,2025,9.744459285,9.794992163
Wheeler,2025,9.553183443,9.768539577
Yamhill,2025,9.75212199,9.778985009
Baker,2030,9.536338868,9.399545996
Benton,2030,9.445020321,9.478331316
Clackamas,2030,9.403098675,9.482399857
Clatsop,2030,9.394654283,9.52417407
Columbia,2030,9.449781179,9.490096725
Coos,2030,9.357873873,9.495515687
Crook,2030,9.427488747,9.555367307
Curry,2030,9.467693623,9.401191929
Deschutes,2030,9.402263338,9.474806934
Douglas,2030,9.421434329,9.468445085
Gilliam,2030,9.606781859,9.481391965
Grant,2030,9.408041668,9.520223137
Harney,2030,9.467857615,9.475269636
Hood River,2030,9.420073402,9.567944358
Jackson,2030,9.411814246,9.500155581
Jefferson,2030,9.454762082,9.499675651
Josephine,2030,9.429642208,9.482652855
Klamath,2030,9.42490226,9.513082111
Lake,2030,9.451815436,9.525862274
Lane,2030,9.403647512,9.488523906
Lincoln,2030,9.460516109,9.54133667
Linn,2030,9.417085927,9.520186507
Malheur,2030,9.367800923,9.502106938
Marion,2030,9.411703453,9.472258207
Morrow,2030,9.463261905,9.434423724
Multnomah,2030,9.391715214,9.473289332
Polk,2030,9.428040003,9.488067221
Sherman,2030,9.511836527,9.283996957
Tillamook,2030,9.456242811,9.498291239
Umatilla,2030,9.430563189,9.448700721
Union,2030,9.398387918,9.446961969
Wallowa,2030,9.60105609,9.552887128
Wasco,2030,9.403284004,9.447300947
Washington,2030,9.418602079,9.474996787
Wheeler,2030,9.319908553,9.408119873
Yamhill,2030,9.432597969,9.483114967
Baker,2035,9.259010897,9.139738713
Benton,2035,9.106754571,9.166966329
Clackamas,2035,9.073809327,9.175733466
Clatsop,2035,9.076466289,9.19126843
Columbia,2035,9.106466033,9.183044847
Coos,2035,9.01103267,9.19271155
Crook,2035,9.09954501,9.27464359
Curry,2035,9.10232715,9.044398093
Deschutes,2035,9.069719177,9.159029321
Douglas,2035,9.120329373,9.134916997
Gilliam,2035,9.342825849,9.020061728
Grant,2035,9.130872483,9.163022631
Harney,2035,9.21942446,9.228967338
Hood River,2035,9.098637858,9.290048907
Jackson,2035,9.065829984,9.175149457
Jefferson,2035,9.087486218,9.236463281
Josephine,2035,9.130683782,9.169013298
