Geo,Year,MetroLandArea,TownLandArea,RuralAveDensity
Jefferson,2015,0,7.288410938,0.3140625
Josephine,2015,17.871875,2.645046875,0.23125
Klamath,2015,0,40.18370313,0.0875
Lake,2015,0,6.072604688,0.1
Lane,2015,76.23125,29.71420313,0.25625
Lincoln,2015,0,30.34718281,0.1796875
Linn,2015,28.4,23.90937453,0.1609375
Malheur,2015,0,16.84895625,0.1234375
Marion,2015,61.1953125,24.39940313,0.309375
Morrow,2015,0,10.95110469,0.2015625
Multnomah,2015,152.5859375,0,0.221875
Polk,2015,8.2125,13.94868594,0.2390625
Sherman,2015,0,3.348482813,0.0046875
Tillamook,2015,0,11.09839688,0.0640625
Umatilla,2015,0,50.67578125,0.1609375
Union,2015,0,12.55604844,0.3265625
Wallowa,2015,0,4.236554688,0.0609375
Wasco,2015,0,11.8780375,0.340625
Washington,2015,116.3859375,2.403736115,0.50625
Wheeler,2015,0,1.621826563,0.0015625
Yamhill,2015,0,27.79595938,0.403125
Baker,2020,0,12.80759045,0.128125
Benton,2020,31.69405842,0.559323848,0.2625
Clackamas,2020,92.1607657,16.59659586,0.428125
Clatsop,2020,0,36.28052904,0.0953125
Columbia,2020,0,22.9230872,0.2265625
Coos,2020,0,34.84448722,0.221875
Crook,2020,0,15.56168839,0.0609375
Curry,2020,0,23.55723931,0.1234375
Deschutes,2020,34.03401752,22.34823763,0.25625
Douglas,2020,0,44.56415377,0.2828125
Gilliam,2020,0,5.394008214,0.003125
Grant,2020,0,12.32824436,0.01875
Harney,2020,0,7.126629399,0.2640625
Hood River,2020,0,7.81214874,0.2765625
Jackson,2020,46.58284196,3.759455531,0.409375
Jefferson,2020,0,7.504928564,0.3140625
Josephine,2020,18.00805971,2.712231572,0.23125
Klamath,2020,0,40.69872173,0.0875
Lake,2020,0,6.20592992,0.1
Lane,2020,76.74544604,30.38229858,0.25625
Lincoln,2020,0,30.80880639,0.1796875
Linn,2020,28.63683266,24.57398963,0.1609375
Malheur,2020,0,16.76103798,0.1234375
Marion,2020,61.70531461,25.07721905,0.309375
Morrow,2020,0,11.20203416,0.2015625
Multnomah,2020,154.909446,0,0.221875
Polk,2020,8.2125,14.36683199,0.2390625
Sherman,2020,0,3.426089278,0.0046875
Tillamook,2020,0,11.29660277,0.0640625
Umatilla,2020,0,52.41649546,0.1609375
Union,2020,0,12.7449112,0.3265625
Wallowa,2020,0,4.243959296,0.0609375
Wasco,2020,0,12.21099136,0.340625
Washington,2020,117.5278549,2.813769105,0.50625
Wheeler,2020,0,1.639680424,0.0015625
Yamhill,2020,0,28.67036296,0.403125
Baker,2025,0,12.83322127,0.128125
Benton,2025,32.01930954,0.577896669,0.2625
Clackamas,2025,92.9494127,17.05997739,0.428125
Clatsop,2025,0,36.66503709,0.0953125
Columbia,2025,0,23.54489062,0.2265625
Coos,2025,0,35.02485686,0.221875
Crook,2025,0,15.82573582,0.0609375
Curry,2025,0,24.28478079,0.1234375
Deschutes,2025,34.6248009,23.59092993,0.25625
Douglas,2025,0,45.79065166,0.2828125
Gilliam,2025,0,5.451955419,0.003125
Grant,2025,0,12.27070484,0.01875
Harney,2025,0,7.090501106,0.2640625
