Geo,Year,AveHhSize,Prop1PerHh
Curry,2045,1.998,0.3235096
Deschutes,2045,2.2291,0.2410979
Douglas,2045,2.1338,0.2658307
Gilliam,2045,1.9454,0.3564815
Grant,2045,1.9736,0.303401
Harney,2045,2.0634,0.300156
Hood River,2045,2.2863,0.2379787
Jackson,2045,2.1615,0.2772762
Jefferson,2045,2.3093,0.221709
Josephine,2045,2.1073,0.2834959
Klamath,2045,2.2128,0.2731672
Lake,2045,2.0505,0.3134991
Lane,2045,2.1086,0.2889577
Lincoln,2045,2.0548,0.3124088
Linn,2045,2.2728,0.2438577
Malheur,2045,2.2926,0.2602056
Marion,2045,2.3542,0.2503964
Morrow,2045,2.3931,0.1912666
Multnomah,2045,2.2277,0.3264214
Polk,2045,2.2248,0.2296055
Sherman,2045,1.9222,0.3059126
Tillamook,2045,2.1188,0.2908436
Umatilla,2045,2.3302,0.2473238
Union,2045,2.2536,0.2763546
Wallowa,2045,1.999,0.3003511
Wasco,2045,2.2118,0.2876371
Washington,2045,2.3709,0.2509727
Wheeler,2045,1.8404,0.3241167
Yamhill,2045,2.2339,0.2167502
Baker,2050,2.1184,0.312358
Benton,2050,2.0821,0.2823091
Clackamas,2050,2.246,0.2406132
Clatsop,2050,2.0814,0.3152678
Columbia,2050,2.196,0.233243
Coos,2050,2.06,0.2977186
Crook,2050,2.2063,0.2412947
Curry,2050,1.9951,0.3235096
Deschutes,2050,2.2233,0.2410979
Douglas,2050,2.1278,0.2658307
Gilliam,2050,1.9446,0.3564815
Grant,2050,1.9683,0.303401
Harney,2050,2.0586,0.300156
Hood River,2050,2.2788,0.2379787
Jackson,2050,2.1559,0.2772762
Jefferson,2050,2.301,0.221709
Josephine,2050,2.1022,0.2834959
Klamath,2050,2.2085,0.2731672
Lake,2050,2.0497,0.3134991
Lane,2050,2.1037,0.2889577
Lincoln,2050,2.0515,0.3124088
Linn,2050,2.2651,0.2438577
Malheur,2050,2.2826,0.2602056
Marion,2050,2.3457,0.2503964
Morrow,2050,2.3842,0.1912666
Multnomah,2050,2.2276,0.3264214
Polk,2050,2.2162,0.2296055
Sherman,2050,1.9241,0.3059126
Tillamook,2050,2.1139,0.2908436
Umatilla,2050,2.3207,0.2473238
Union,2050,2.2453,0.2763546
Wallowa,2050,1.9984,0.3003511
Wasco,2050,2.2044,0.2876371
Washington,2050,2.3702,0.2509727
Wheeler,2050,1.8355,0.3241167
Yamhill,2050,2.2261,0.2167502
